id,dataSetName,displayName,constellationName,mass,actualMass,source,catalogIdList,X,Y,Z,radius,ra,pmra,declination,pmdec,dec_deg,rs_cdeg,parallax,distance,radialVelocity,spectralClass,orthoSpectralClass,temperature,realStar,bprp,bpg,grp,luminosity,magu,magb,magv,magr,magi,other,anomaly,polity,worldType,fuelType,portType,populationType,techType,productType,milSpaceType,milPlanType,miscText1,miscText2,miscText3,miscText4,miscText5,miscNum1,miscNum2,miscNum3,miscNum4,miscNum5,notes
ff7d7239-53d8-4e39-a972-201475086751,25 ly Curated,* eps Eri                          ,Eridanus,,,Simbad|GaiaDr2,"8pc 310.75|PLX  742|2MASS J03325591-0927298|* eps Eri|*  18 Eri|1AXG J033256-0926|2E   788|2RE J033253-092646|2RE J0332-092|BD-09   697|CCDM J03329-0927A|Ci 20  241|FK5  127|GC  4244|GCRV  1962|GEN# +1.00022049|GJ   144.0|GJ   144|HD  22049|HIC  16537|HIP  16537|HR  1084|IRAS 03305-0937|IRC -10048|JP11   792|LFT  291|LHS  1557|LPM 158|LTT  1675|N30  726|NLTT 11207|PM 03306-0938|PMC 90-93    91|PPM 185905|RAFGL  497|RBS   439|RE J0332-092|RE J033255-092717|ROT   531|SACS  76|SAO 130564|SKY#  5366|SPOCS  171|TD1  2301|TYC 5296-1533-1|UBV    3410|UBV M   9580|V* eps Eri|YZ   0  4513|YZ  99   836|Zkh  51|[FS2003] 0134|uvby98 100022049|PLX  742.00|1E 0330.5-0937|1RXS J033256.4-092727|2E 0330.5-0937|2EUVE J0332-09.4|EUVE J0332-09.4|RX J0332.9-0927|WDS J03329-0927A|WDS J03329-0927Aa,Ab|** BLA    2|Gaia DR2 5164707970261630080|** MBA    1A|NAME Ran|WEB  3160|GES J03325495-0927294                                                                                                                                                           ",10.2770041549,-1.8105749429,0.349510928,,53.2326873475,-975.17 ,-9.4582586569, 19.49,,,310.94,10.441128,16.38,K2V            ,K,5092, true,,,,,5.19,4.61,3.73,3,2.54,,,,,,,,,,,,Ran                    ,@643684  ,Metallicity FeH min/maax 7.47 |-0.82,,,,,,,,
c7faf0cc-44ce-4c7f-97fd-f4787060c8f3,25 ly Curated,* eps Ind                          ,Indus,,,Simbad|GaiaDr2,PLX 5314|* eps Ind|2E  4554|AC2000 4384302|CD-57  8464|CPC 20  6944|CPD-57 10015|Ci 20 1330|FK5  825|GC 30817|GCRV 13838|GEN# +1.00209100|GJ   845|GJ   845 A|HD 209100|HIC 108870|HIP 108870|HR  8387|JP11  3425|LFT 1677|LHS    67|LPM 805|LTT  8813|N30 4855|NLTT 52724|PM 21596-5700|PPM 349918|RBS  1817|SACS 480|SAO 247287|SKY# 42020|TD1 28679|UBV M  26050|UBV   18808|UGP 544|Zkh 326|2MASS J22032156-5647093|PLX 5314.00|1RXS J220318.1-564650|2E 2159.7-5701|RX J2203.2-5646|IRAS 21598-5700|TYC 8817-984-1|** SOZ    1A|WDS J22034-5647A|WISEA J220326.69-564735.5|uvby98 100209100|WEB 19578|Gaia DR2 6412595290592307840                                                                                                                                                                                                                                                                                                                                                                                                                                        ,-6.4895538926,-9.5307003557,-2.788870202,,330.8402259562,3967.039 ,-56.7859825051, -2535.758,,,274.8048,11.862814,-40.04,K5V            ,K,4663, true,,,,,     ~,5.75,4.69,     ~,     ~,,,,,,,,,,,,,@3387848 ,Metallicity FeH min/maax 0.04 |-0.61,,,,,,,,
2a2e6f9b-7ab0-415a-b512-01cf006429b1,25 ly Curated,* eta Cas                          ,Carina,,,Simbad|GaiaDr2,PLX  155|LSPM J0049+5748|ASCC  159214|USNO-B1.0 1478-00036288|*  24 Cas|* eta Cas|1RXS J004904.0+574917|2E   191|AG+57   81|BD+57   150|CSI+57   150  8|CSI+57   150  1|Ci 20   56|GC   962|GCRV   447|HD   4614|HIC   3821|HIP   3821|HR   219|IDS 00430+5717|IRAS 00461+5732|IRC +60019|JP11   419|LFT   74|LHS   123|LTT 10287|N30  163|NLTT  2690|PM 00461+5733|PPM  25718|ROT  6014|ROT  3488|SAO  21732|SBC7    31|SKY#  1265|SPOCS   41|TD1   443|UBV     650|USNO 793|V* eta Cas|Wolf   24|Zkh  15|2E 0046.1+5733|NAME Achird|uvby98 100004614|WEB   675|Gaia DR2 425040000951479424|GEN# +1.00004614A|* eta Cas A|8pc 167.99A|ADS   671 A|BD+57   150A|CCDM J00491+5749A|GJ    34 A|WDS J00491+5749A|TYC 3663-2669-1|2MASS J00490622+5748545|** STF   60A|HD   4614A                                                                                                                                                                                                                                                                                                  ,5.4638397477,-1.6314275714,18.1582535951,,12.2762113171,1086.59 ,57.8151877056, -559.43,,,167.98,19.032532,8.4,F9V+M0-V       ,F,5886, true,,,,,4.04,4.02,3.44,2.94,2.58,,,,,,,,,,,,Achird                 ,@106647  ,Metallicity FeH min/maax 7.24 |-0.41,,,,,,,,
bbf570a0-e080-44cd-a64f-37165a168021,25 ly Curated,* ksi Boo                          ,Bootes,,,Simbad|GaiaDr2,CCDM J14513+1906AB|IDS 14468+1931 AB|PLX 3360|SPOCS 2890|LSPM J1451+1906|ASCC  871237|2MASS J14512328+1906034|USNO-B1.0 1091-00230362|*  37 Boo|* ksi Boo|2E  3337|2E 1449.0+1918|ADS  9413 AB|AG+19 1391|BD+19  2870|CSI+19  2870  1|GC 19991|GJ   566|HD 131156|HIC  72659|HIP  72659|HR  5544|IRC +20276|JP11  2546|N30 3355|PPM 130930|RBS  1439|ROT  2124|SAO 101250|SKY# 26980|SV* SVS  2491|TD1 17778|UBV   12367|UBV   12949|[GKL99] 307|uvby98 100131156 ABV|WDS J14514+1906AB|1ES 1449+19.3|1RXS J145123.1+190606|EUVE J1451+19.1|RX J1451.3+1905|RX J1451.3+1906|[ZEH2003] RX J1451.3+1906  1|IRAS 14490+1918|V* ksi Boo|** STF 1888AB|2RE J1451+190|2RE J145122+190538|RE J1451+190|RE J145122+190551|1AXG J145123+1906|2EUVE J1451+19.1|SPOCS  621|WEB 12488|GEN# +1.00131156                                                                                                                                                                                                                                                    ,-20.7501973392,4.3287311482,5.4331473793,,222.8474163722,154.98 ,19.1004720484, -66.43,,,148.98,21.8821318298,1.59,G7Ve+K5Ve      ,G,5483, true,,,,,5.618,5.37,4.593,3.91,3.48,,,,,,,,,,,,,@2302652 ,Metallicity FeH min/maax 7.33 |-0.26,,,,,,,,
ddd570a0-f080-33dd-ab4f-37165a168021,25 ly Curated,* ksi UMa                          ,Ursa major,,,Simbad|GaiaDr2,* ksi UMa|*  53 UMa|ADS  8119 AB|BD+32  2132|CCDM J11182+3132AB|CSI+32  2132  3|Ci 20  627|GC 15537|HIC  55203|HIP  55203|IDS 11128+3206 AB|IRC +30229|JP11  2046|N30 2652|RBS   961|TD1 15519|UBV   10288|UBV M  16962|V* ksi UMa|YPAC 502|1RXS J111811.1+313154|RX J1118.1+3131|[ZEH2003] RX J1118.1+3131  1|WDS J11182+3132AB|** STF 1523AB|NAME Alula Australis|AKARI-IRC-V1 J1118109+313147|IRAS 11154+3148|PMSC 11128+3205|** WTE    1A|RX J1118.1+3130|2E 1115.4+3148|EUVE J1118+31.5|NSV  5165|2RE J1118+313|RE J111810+313153|1ES 1115+31.8|EUVE J1118+31.4|2RE J111810+313143|2E  2440|2EUVE J1118+31.5|RE J1118+313|2MASS J11181100+3131464|UCAC3 244-100191|UCAC4 608-048190|WISE J111810.63+313139.4|SAO  62484|SKY# 21520|USNO-B1.0 1215-00188948|ASCC  585912|WISEA J111810.57+313139.3|uvby98 100098230|PLX 2625|PLX 2625.00|GEN# +1.00098231                                                                                                                                                                                 ,28.469490217,-2.869526899,3.2576879428,,169.5455495,-453.7 ,31.5292889, -591.4,,,113.2,28.7985865724,-18.2,F8.5:V+G2V     ,F,    , true,,,,,4.42,4.38,3.79,     ~,     ~,,,,,,,,,,,,Alula Australis        ,@1800872 ,Metallicity FeH min/maax      |     ,,,,,,,,
9c351cf1-21b3-485c-971b-edade89f8d0b,25 ly Curated,* omi02 Eri                        ,Eridanus,,,Simbad|GaiaDr2,2MASS J04151651-0739068|PLX  945|* omi02 Eri|*  40 Eri|8pc 198.24A|AAVSO 0410-07|AC2000 2125614|ADS  3093 A|BD-07   780|CCDM J04153-0739A|CSI-07   780  1|Ci 20  288|GC  5138|GCRV  2440|GEN# +1.00026965A|GEN# +1.00026965|GJ   166 A|HD  26965|HIC  19849|HIP  19849|HR  1325|IRC -10064|JP11   868|LFT  338|LHS    23|LPM 181|LTT  1907|N30  880|NLTT 12863|PM 04130-0744|PPM 400061|RBS   527|SAO 131063|SKY#  6509|SPOCS  207|UBV    4139|UBV M  10040|YZ  97  1060|Zkh  58|[GKL99] 110|1E 041258-0745.9|1RXS J041521.5-073843|2EUVE J0415-07.6|EUVE J0415-07.6|WDS J04153-0739A|TYC 5312-2325-1|** STF  518A|Gaia DR2 3195919528988725120|PMSC 04107-0748A|WISEA J041513.97-073951.7|NAME Keid|uvby98 100026965|WEB  3792                                                                                                                                                                                                                                                                                                                                                ,1.8100088516,2.7348316088,-16.0867951321,,63.8179988583,-2240.12 ,-7.6528716908, -3420.27,,,200.62,16.417686,-42.27,K0V            ,K,5123, true,,,,,5.69,5.25,4.43,3.74,3.29,,,,,,,,,,,,Keid                   ,@702026  ,Metallicity FeH min/maax 7.34 |-0.54,,,,,,,,
57b1f57c-9536-4857-acb5-6e20dbd5e850,25 ly Curated,* sig Dra                          ,Draco,,,Simbad|GaiaDr2,PLX 4607|LSPM J1932+6939|ASCC   91811|2MASS J19322153+6939413|USNO-B1.0 1596-00153676|* sig Dra|*  61 Dra|2E  4267|8pc 173.41|AG+69  821|BD+69  1053|CCDM J19322+6941A|CSI+69  1053  1|CSV 101868|Ci 20 1161|GAT 1255|GC 27050|GCRV 11981|GEN# +1.00185144|GJ   764|GSC 04448-00084|HD 185144|HIC  96100|HIP  96100|HR  7462|IDS 19325+6929 A|IRAS 19325+6933|IRC +70158|JP11  3122|LFT 1486|LHS   477|LTT 15713|NLTT 47961|NSV 12176|PPM  21580|RAFGL 5397S|ROT  2825|SAO  18396|SKY# 36421|SPOCS  846|TD1 25077|TYC 4448-2481-1|UBV M  23958|UBV   16650|USNO 888|Zkh 294|[B10]  5009|uvby98 100185144|PLX 4607.00|1ES 1932+69.5|1RXS J193220.4+693958|2E 1932.5+6933|EUVE J1932+69.6|WDS J19324+6940A|WISEA J193222.79+693922.3|NAME Alsafi|Gaia DR1 2261614294993061120|WEB 16831|Gaia DR2 2261614264930275072                                                                                                                                                                                                                                                             ,-9.7093243069,-12.7997719332,9.7647658517,,293.0899595792,598.07 ,69.6611763158, -1738.40,,,173.77,18.80042,26.73,K0V            ,K,5276, true,,,,,5.86,5.46,4.68,4.04,3.63,,,,,,,,,,,,Alsafi                 ,@288537  ,Metallicity FeH min/maax 7.33 |-0.33,,,,,,,,
cbbb08e2-baae-48b9-9f97-bbd0a8e4bff7,25 ly Curated,* tau Cet                          ,Cetus,,,Simbad|GaiaDr2,2MASS J01440402-1556141|PLX  365|* tau Cet|*  52 Cet|8pc 274.17|BD-16   295|CCDM J01441-1557A|CSI-16   295  1|Ci 20  124|FK5   59|GC  2123|GCRV   979|GEN# +1.00010700|GJ    71.0|GJ    71|HD  10700|HIC   8102|HIP   8102|HR   509|IDS 01394-1628 A|IRAS 01416-1611|IRC -20018|JP11   535|LFT  159|LHS   146|LPM  84|LTT   935|N30  359|NLTT  5787|PM 01417-1612|PMC 90-93    41|PPM 210580|RAFGL 4135S|ROT   249|SACS  31|SAO 147986|SKY#  2598|SPOCS   96|TD1   997|UBV    1769|UBV M   8397|YZ 106   431|Zkh  33|uvby98 100010700|PLX  365.00|1RXS J014404.7-155632|WDS J01441-1556A|Gaia DR2 2452378776434276992|TYC 5855-2292-1|WEB  1733                                                                                                                                                                                                                                                                                                                                                                                                                                ,-7.2504533053,-8.8473263552,2.6724645448,,26.0170142608,-1721.05 ,-15.9374795978, 854.16,,,273.96,11.746758,-16.6,G8V            ,G,5326, true,,,,,4.43,4.22,3.5,2.88,2.41,,,,,,,,,,,,,@1298185 ,Metallicity FeH min/maax 7.03 |-0.68,,,,,,,,
dea79877-589c-4674-8ac5-5469bcca3682,25 ly Curated,2MASS J02540788+0223563            ,Cetus,,,Simbad|GaiaDr2,2MASS J02540788+0223563|WISEP J025409.45+022359.1|PSO J043.5395+02.3995|EQ J0254+0223|WISE J025409.51+022358.6|WISEA J025409.55+022358.5|ULAS J025409.58+022358.7|SDSS J025409.24+022358.2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,-10.5994934885,5.1127829982,10.8017991002,,43.53286,2578 ,2.398985, 309,,,185,15.974,~        ,T8.0           ,T,    , true,,,,,     ~,     ~,     ~,     ~,     ~,,,,,,,,,,,,,@6211064 ,Metallicity FeH min/maax      |     ,,,,,,,,
cd1c960c-9a49-4be6-af09-f23ded663fb9,25 ly Curated,2MASS J05212615+1025328            ,Orion,,,Simbad|GaiaDr2,WISE J052126.29+102528.4|2MASS J05212615+1025328|WISEA J052126.30+102528.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,-2.1615414691,8.523095288,-13.7249621198,,80.358986,215.1 ,10.425799, -436.4,,,200,16.3,~        ,T7.5           ,T,    , true,,,,,     ~,     ~,     ~,     ~,     ~,,,,,,,,,,,,,@8401605 ,Metallicity FeH min/maax      |     ,,,,,,,,
